 10 0.004339  87
 20 0.019806 241
 30 0.060827 408
 40 0.127455 568
 50 0.231428 728
 60 0.405761 880
 70 0.893822 1034
 80 0.903366 1188
 90 1.385099 1350
100 1.978121 1510
